title,rating,date,content
5.0 out of 5 starsi9 14th gen is the beast!,5.0 out of 5 stars,Reviewed in India on 20 November 2023,"Just upgraded from i5 9400f to i9 14900k and super happy with the performance that I am able to achieve. It simply works buttery smooth. Large applications open like notepad apps.It heats a lot though so I went with MSI coreliquid liquid cooling solution.If looking to upgrade from 13th gen then save money because the performance is identical, however if setting up new PC then definitely go with it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip: If u are struck setting up ur PC then go to MSI support and they are super responsive to assist you. I got my wiring fixed in matter of minutes ona video call by their assistant.Read more"
1.0 out of 5 starsWorst! Gave me used and defective product.,1.0 out of 5 stars,Reviewed in India on 25 June 2024,"Motherboard (Gigabyte z790 ud ac) not detecting cpuThe packaging was worst..Go to store instead, test it and buy it.Don't buy!Read more"
1.0 out of 5 starsWorst quality,1.0 out of 5 stars,Reviewed in India on 28 March 2024,I don't liked the price of it .I Also don't liked the performance of it .Rather you can purchase i9 13th generationRead more
1.0 out of 5 starsWaste of money,1.0 out of 5 stars,Reviewed in India on 7 December 2023,13 gen is better with same performence at low pricing. Avoid this product cause it have only 2 core touching 6000 mhz so in real life there are no difference.Read more
2.0 out of 5 starsIt's just a overclocked i7 13700k,2.0 out of 5 stars,Reviewed in India on 25 October 2023,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for moneyRead more
5.0 out of 5 starsBeast gaming 💪🐻,5.0 out of 5 stars,Reviewed in India on 23 October 2023,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy itRead more
,,Reviewed in Mexico on 11 March 2024,"Lo compré con el 10% de descuento, es el mejor procesador que he tenido. No llora con nada, que es muy caliente, si. Pero con una buena refrigeración liquida, que ya son bastante buenas, se controla.Me gustó mucho, sin demeritar a la competencia AMD que lo está haciendo genial también. Per en mi caso como las memorias DDR5 vienen optimizadas para intel y no quiero estar batallando, me decidí por este y no me arrepiento de mi compra. Muy buen producto de calidad premium.Read more"
,,Reviewed in Canada on 5 March 2024,bonne decision pour mon ordiRead more
,,Reviewed in Canada on 8 December 2023,"I was using a 10700K. I decided it was time..well, actually I got the itch.I decided to go with the 14700K for a few reasons. One is that it's the only 14th gen part from Intel that got a significant upgrade (four more e-cores and 8 more threads, plus a small clock boost).I also don't like that the 3DFX part from AMD had caused some minor issues for people, and I definitely don't like the RAM issues I see all the time on AMD systems. If it wasn't for the RAM issues, I may have gone AMD this time. Out of all the Intel systems I have assembled for customers over the years, I have not once come across a RAM issue that wasn't caused by bad RAM.This CPU is working perfectly, and gaming excellently. Gaming benchmarks show it to be a very good CPU, and I am not having any issues with it.If you are interested in any other Intel parts, I suggest going with 13th gen as you will basically get the same part for less money. For an i7 system though, this is an excellent CPU and a half decent upgrade over the previous gen.Read more"
,,Reviewed in Canada on 1 December 2023,Not buying a cpu from this seller again wen my order came I opened the box and the cpu was not in the box even tho it still has the factory seal wast of almost 1k bucksRead more
,,Reviewed in the United States on 3 November 2023,"So far so good.  This CPU is a monster and runs very nicely and boosts to max clocks (6ghz on two cores and 5.7ghz on all cores) unlimited TDP settings but thermally limited at 90c with -60mV offset.  I have noticed that it runs a bit cooler than my previous 13900KF, especially when you consider the core to core deltas.  I use my PC mostly for gaming and encoding, so as long as you have a great case with plenty of air flow and a top notch cooler, you can easily run it air cooled without issues as it will just throttle itself when it hits whatever thermal maximum you set in the UEFI BIOS.In gaming workloads it never throttles though and stays at 5.7ghz all core boost the entire time with temps in CPU intensive games anywhere from the upper 50s to mid 60s and upper 40s to mid 50s in non CPU intensive games**Update**I have the CPU now at 5.8ghz with HT disabled and a -75mV offset and it's working like a charm and very stable in gaming workloads and encoding (it downclocks when it hits 90c for encoding workloads but for gaming it stays at 5.8ghz), which is amazing since it's on an air cooled setup, though the setup is as optimal as it gets for air cooling!  As for temps, they are a little lower than running it at 5.7ghz with HT enabled and a -50mV offset.  If I use a -75mV offset with 5.8ghz and HT enabled, my PC crashes.  So disabling HT definitely enables the CPU to use less power.If you're predominantly using your machine for gaming, then I definitely recommend turning HT off regardless as most games tend to run better with HT disabled.  But if you're using it for productivity or a blend of both productivity and gaming, then definitely turn HT on.The only mildly disappointing thing for me is that the memory controller isn't as good as I thought it would be.  Mine runs 48GB DDR5 7400 CL34 at 1.35V on the IMC, but to hit DDR5 7600 CL36 with stability I need to increase the IMC voltage to 1.41V which just isn't worth it if you ask me for such a minor bump in performance.  My previous 13900KF could do 48GB DDR5 7800 at 1.36V on the IMC.Core wise though, the CPU is definitely superior to 13th gen.Read more"
5.0 out of 5 starsi9 14th gen is the beast!,5.0 out of 5 stars,Reviewed in India on 20 November 2023,"Just upgraded from i5 9400f to i9 14900k and super happy with the performance that I am able to achieve. It simply works buttery smooth. Large applications open like notepad apps.It heats a lot though so I went with MSI coreliquid liquid cooling solution.If looking to upgrade from 13th gen then save money because the performance is identical, however if setting up new PC then definitely go with it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip: If u are struck setting up ur PC then go to MSI support and they are super responsive to assist you. I got my wiring fixed in matter of minutes ona video call by their assistant.Read more"
1.0 out of 5 starsWorst! Gave me used and defective product.,1.0 out of 5 stars,Reviewed in India on 25 June 2024,"Motherboard (Gigabyte z790 ud ac) not detecting cpuThe packaging was worst..Go to store instead, test it and buy it.Don't buy!Read more"
1.0 out of 5 starsWorst quality,1.0 out of 5 stars,Reviewed in India on 28 March 2024,I don't liked the price of it .I Also don't liked the performance of it .Rather you can purchase i9 13th generationRead more
1.0 out of 5 starsWaste of money,1.0 out of 5 stars,Reviewed in India on 7 December 2023,13 gen is better with same performence at low pricing. Avoid this product cause it have only 2 core touching 6000 mhz so in real life there are no difference.Read more
2.0 out of 5 starsIt's just a overclocked i7 13700k,2.0 out of 5 stars,Reviewed in India on 25 October 2023,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for moneyRead more
5.0 out of 5 starsBeast gaming 💪🐻,5.0 out of 5 stars,Reviewed in India on 23 October 2023,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy itRead more
,,Reviewed in Mexico on 11 March 2024,"Lo compré con el 10% de descuento, es el mejor procesador que he tenido. No llora con nada, que es muy caliente, si. Pero con una buena refrigeración liquida, que ya son bastante buenas, se controla.Me gustó mucho, sin demeritar a la competencia AMD que lo está haciendo genial también. Per en mi caso como las memorias DDR5 vienen optimizadas para intel y no quiero estar batallando, me decidí por este y no me arrepiento de mi compra. Muy buen producto de calidad premium.Read more"
,,Reviewed in Canada on 5 March 2024,bonne decision pour mon ordiRead more
,,Reviewed in Canada on 8 December 2023,"I was using a 10700K. I decided it was time..well, actually I got the itch.I decided to go with the 14700K for a few reasons. One is that it's the only 14th gen part from Intel that got a significant upgrade (four more e-cores and 8 more threads, plus a small clock boost).I also don't like that the 3DFX part from AMD had caused some minor issues for people, and I definitely don't like the RAM issues I see all the time on AMD systems. If it wasn't for the RAM issues, I may have gone AMD this time. Out of all the Intel systems I have assembled for customers over the years, I have not once come across a RAM issue that wasn't caused by bad RAM.This CPU is working perfectly, and gaming excellently. Gaming benchmarks show it to be a very good CPU, and I am not having any issues with it.If you are interested in any other Intel parts, I suggest going with 13th gen as you will basically get the same part for less money. For an i7 system though, this is an excellent CPU and a half decent upgrade over the previous gen.Read more"
,,Reviewed in Canada on 1 December 2023,Not buying a cpu from this seller again wen my order came I opened the box and the cpu was not in the box even tho it still has the factory seal wast of almost 1k bucksRead more
,,Reviewed in the United States on 3 November 2023,"So far so good.  This CPU is a monster and runs very nicely and boosts to max clocks (6ghz on two cores and 5.7ghz on all cores) unlimited TDP settings but thermally limited at 90c with -60mV offset.  I have noticed that it runs a bit cooler than my previous 13900KF, especially when you consider the core to core deltas.  I use my PC mostly for gaming and encoding, so as long as you have a great case with plenty of air flow and a top notch cooler, you can easily run it air cooled without issues as it will just throttle itself when it hits whatever thermal maximum you set in the UEFI BIOS.In gaming workloads it never throttles though and stays at 5.7ghz all core boost the entire time with temps in CPU intensive games anywhere from the upper 50s to mid 60s and upper 40s to mid 50s in non CPU intensive games**Update**I have the CPU now at 5.8ghz with HT disabled and a -75mV offset and it's working like a charm and very stable in gaming workloads and encoding (it downclocks when it hits 90c for encoding workloads but for gaming it stays at 5.8ghz), which is amazing since it's on an air cooled setup, though the setup is as optimal as it gets for air cooling!  As for temps, they are a little lower than running it at 5.7ghz with HT enabled and a -50mV offset.  If I use a -75mV offset with 5.8ghz and HT enabled, my PC crashes.  So disabling HT definitely enables the CPU to use less power.If you're predominantly using your machine for gaming, then I definitely recommend turning HT off regardless as most games tend to run better with HT disabled.  But if you're using it for productivity or a blend of both productivity and gaming, then definitely turn HT on.The only mildly disappointing thing for me is that the memory controller isn't as good as I thought it would be.  Mine runs 48GB DDR5 7400 CL34 at 1.35V on the IMC, but to hit DDR5 7600 CL36 with stability I need to increase the IMC voltage to 1.41V which just isn't worth it if you ask me for such a minor bump in performance.  My previous 13900KF could do 48GB DDR5 7800 at 1.36V on the IMC.Core wise though, the CPU is definitely superior to 13th gen.Read more"
5.0 out of 5 starsi9 14th gen is the beast!,5.0 out of 5 stars,Reviewed in India on 20 November 2023,"Just upgraded from i5 9400f to i9 14900k and super happy with the performance that I am able to achieve. It simply works buttery smooth. Large applications open like notepad apps.It heats a lot though so I went with MSI coreliquid liquid cooling solution.If looking to upgrade from 13th gen then save money because the performance is identical, however if setting up new PC then definitely go with it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip: If u are struck setting up ur PC then go to MSI support and they are super responsive to assist you. I got my wiring fixed in matter of minutes ona video call by their assistant.Read more"
1.0 out of 5 starsWorst! Gave me used and defective product.,1.0 out of 5 stars,Reviewed in India on 25 June 2024,"Motherboard (Gigabyte z790 ud ac) not detecting cpuThe packaging was worst..Go to store instead, test it and buy it.Don't buy!Read more"
1.0 out of 5 starsWorst quality,1.0 out of 5 stars,Reviewed in India on 28 March 2024,I don't liked the price of it .I Also don't liked the performance of it .Rather you can purchase i9 13th generationRead more
1.0 out of 5 starsWaste of money,1.0 out of 5 stars,Reviewed in India on 7 December 2023,13 gen is better with same performence at low pricing. Avoid this product cause it have only 2 core touching 6000 mhz so in real life there are no difference.Read more
2.0 out of 5 starsIt's just a overclocked i7 13700k,2.0 out of 5 stars,Reviewed in India on 25 October 2023,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for moneyRead more
5.0 out of 5 starsBeast gaming 💪🐻,5.0 out of 5 stars,Reviewed in India on 23 October 2023,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy itRead more
,,Reviewed in Mexico on 11 March 2024,"Lo compré con el 10% de descuento, es el mejor procesador que he tenido. No llora con nada, que es muy caliente, si. Pero con una buena refrigeración liquida, que ya son bastante buenas, se controla.Me gustó mucho, sin demeritar a la competencia AMD que lo está haciendo genial también. Per en mi caso como las memorias DDR5 vienen optimizadas para intel y no quiero estar batallando, me decidí por este y no me arrepiento de mi compra. Muy buen producto de calidad premium.Read more"
,,Reviewed in Canada on 5 March 2024,bonne decision pour mon ordiRead more
,,Reviewed in Canada on 8 December 2023,"I was using a 10700K. I decided it was time..well, actually I got the itch.I decided to go with the 14700K for a few reasons. One is that it's the only 14th gen part from Intel that got a significant upgrade (four more e-cores and 8 more threads, plus a small clock boost).I also don't like that the 3DFX part from AMD had caused some minor issues for people, and I definitely don't like the RAM issues I see all the time on AMD systems. If it wasn't for the RAM issues, I may have gone AMD this time. Out of all the Intel systems I have assembled for customers over the years, I have not once come across a RAM issue that wasn't caused by bad RAM.This CPU is working perfectly, and gaming excellently. Gaming benchmarks show it to be a very good CPU, and I am not having any issues with it.If you are interested in any other Intel parts, I suggest going with 13th gen as you will basically get the same part for less money. For an i7 system though, this is an excellent CPU and a half decent upgrade over the previous gen.Read more"
,,Reviewed in Canada on 1 December 2023,Not buying a cpu from this seller again wen my order came I opened the box and the cpu was not in the box even tho it still has the factory seal wast of almost 1k bucksRead more
,,Reviewed in the United States on 3 November 2023,"So far so good.  This CPU is a monster and runs very nicely and boosts to max clocks (6ghz on two cores and 5.7ghz on all cores) unlimited TDP settings but thermally limited at 90c with -60mV offset.  I have noticed that it runs a bit cooler than my previous 13900KF, especially when you consider the core to core deltas.  I use my PC mostly for gaming and encoding, so as long as you have a great case with plenty of air flow and a top notch cooler, you can easily run it air cooled without issues as it will just throttle itself when it hits whatever thermal maximum you set in the UEFI BIOS.In gaming workloads it never throttles though and stays at 5.7ghz all core boost the entire time with temps in CPU intensive games anywhere from the upper 50s to mid 60s and upper 40s to mid 50s in non CPU intensive games**Update**I have the CPU now at 5.8ghz with HT disabled and a -75mV offset and it's working like a charm and very stable in gaming workloads and encoding (it downclocks when it hits 90c for encoding workloads but for gaming it stays at 5.8ghz), which is amazing since it's on an air cooled setup, though the setup is as optimal as it gets for air cooling!  As for temps, they are a little lower than running it at 5.7ghz with HT enabled and a -50mV offset.  If I use a -75mV offset with 5.8ghz and HT enabled, my PC crashes.  So disabling HT definitely enables the CPU to use less power.If you're predominantly using your machine for gaming, then I definitely recommend turning HT off regardless as most games tend to run better with HT disabled.  But if you're using it for productivity or a blend of both productivity and gaming, then definitely turn HT on.The only mildly disappointing thing for me is that the memory controller isn't as good as I thought it would be.  Mine runs 48GB DDR5 7400 CL34 at 1.35V on the IMC, but to hit DDR5 7600 CL36 with stability I need to increase the IMC voltage to 1.41V which just isn't worth it if you ask me for such a minor bump in performance.  My previous 13900KF could do 48GB DDR5 7800 at 1.36V on the IMC.Core wise though, the CPU is definitely superior to 13th gen.Read more"
5.0 out of 5 starsi9 14th gen is the beast!,5.0 out of 5 stars,Reviewed in India on 20 November 2023,"Just upgraded from i5 9400f to i9 14900k and super happy with the performance that I am able to achieve. It simply works buttery smooth. Large applications open like notepad apps.It heats a lot though so I went with MSI coreliquid liquid cooling solution.If looking to upgrade from 13th gen then save money because the performance is identical, however if setting up new PC then definitely go with it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip: If u are struck setting up ur PC then go to MSI support and they are super responsive to assist you. I got my wiring fixed in matter of minutes ona video call by their assistant.Read more"
1.0 out of 5 starsWorst! Gave me used and defective product.,1.0 out of 5 stars,Reviewed in India on 25 June 2024,"Motherboard (Gigabyte z790 ud ac) not detecting cpuThe packaging was worst..Go to store instead, test it and buy it.Don't buy!Read more"
1.0 out of 5 starsWorst quality,1.0 out of 5 stars,Reviewed in India on 28 March 2024,I don't liked the price of it .I Also don't liked the performance of it .Rather you can purchase i9 13th generationRead more
1.0 out of 5 starsWaste of money,1.0 out of 5 stars,Reviewed in India on 7 December 2023,13 gen is better with same performence at low pricing. Avoid this product cause it have only 2 core touching 6000 mhz so in real life there are no difference.Read more
2.0 out of 5 starsIt's just a overclocked i7 13700k,2.0 out of 5 stars,Reviewed in India on 25 October 2023,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for moneyRead more
5.0 out of 5 starsBeast gaming 💪🐻,5.0 out of 5 stars,Reviewed in India on 23 October 2023,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy itRead more
,,Reviewed in Mexico on 11 March 2024,"Lo compré con el 10% de descuento, es el mejor procesador que he tenido. No llora con nada, que es muy caliente, si. Pero con una buena refrigeración liquida, que ya son bastante buenas, se controla.Me gustó mucho, sin demeritar a la competencia AMD que lo está haciendo genial también. Per en mi caso como las memorias DDR5 vienen optimizadas para intel y no quiero estar batallando, me decidí por este y no me arrepiento de mi compra. Muy buen producto de calidad premium.Read more"
,,Reviewed in Canada on 5 March 2024,bonne decision pour mon ordiRead more
,,Reviewed in Canada on 8 December 2023,"I was using a 10700K. I decided it was time..well, actually I got the itch.I decided to go with the 14700K for a few reasons. One is that it's the only 14th gen part from Intel that got a significant upgrade (four more e-cores and 8 more threads, plus a small clock boost).I also don't like that the 3DFX part from AMD had caused some minor issues for people, and I definitely don't like the RAM issues I see all the time on AMD systems. If it wasn't for the RAM issues, I may have gone AMD this time. Out of all the Intel systems I have assembled for customers over the years, I have not once come across a RAM issue that wasn't caused by bad RAM.This CPU is working perfectly, and gaming excellently. Gaming benchmarks show it to be a very good CPU, and I am not having any issues with it.If you are interested in any other Intel parts, I suggest going with 13th gen as you will basically get the same part for less money. For an i7 system though, this is an excellent CPU and a half decent upgrade over the previous gen.Read more"
,,Reviewed in Canada on 1 December 2023,Not buying a cpu from this seller again wen my order came I opened the box and the cpu was not in the box even tho it still has the factory seal wast of almost 1k bucksRead more
,,Reviewed in the United States on 3 November 2023,"So far so good.  This CPU is a monster and runs very nicely and boosts to max clocks (6ghz on two cores and 5.7ghz on all cores) unlimited TDP settings but thermally limited at 90c with -60mV offset.  I have noticed that it runs a bit cooler than my previous 13900KF, especially when you consider the core to core deltas.  I use my PC mostly for gaming and encoding, so as long as you have a great case with plenty of air flow and a top notch cooler, you can easily run it air cooled without issues as it will just throttle itself when it hits whatever thermal maximum you set in the UEFI BIOS.In gaming workloads it never throttles though and stays at 5.7ghz all core boost the entire time with temps in CPU intensive games anywhere from the upper 50s to mid 60s and upper 40s to mid 50s in non CPU intensive games**Update**I have the CPU now at 5.8ghz with HT disabled and a -75mV offset and it's working like a charm and very stable in gaming workloads and encoding (it downclocks when it hits 90c for encoding workloads but for gaming it stays at 5.8ghz), which is amazing since it's on an air cooled setup, though the setup is as optimal as it gets for air cooling!  As for temps, they are a little lower than running it at 5.7ghz with HT enabled and a -50mV offset.  If I use a -75mV offset with 5.8ghz and HT enabled, my PC crashes.  So disabling HT definitely enables the CPU to use less power.If you're predominantly using your machine for gaming, then I definitely recommend turning HT off regardless as most games tend to run better with HT disabled.  But if you're using it for productivity or a blend of both productivity and gaming, then definitely turn HT on.The only mildly disappointing thing for me is that the memory controller isn't as good as I thought it would be.  Mine runs 48GB DDR5 7400 CL34 at 1.35V on the IMC, but to hit DDR5 7600 CL36 with stability I need to increase the IMC voltage to 1.41V which just isn't worth it if you ask me for such a minor bump in performance.  My previous 13900KF could do 48GB DDR5 7800 at 1.36V on the IMC.Core wise though, the CPU is definitely superior to 13th gen.Read more"
5.0 out of 5 starsi9 14th gen is the beast!,5.0 out of 5 stars,Reviewed in India on 20 November 2023,"Just upgraded from i5 9400f to i9 14900k and super happy with the performance that I am able to achieve. It simply works buttery smooth. Large applications open like notepad apps.It heats a lot though so I went with MSI coreliquid liquid cooling solution.If looking to upgrade from 13th gen then save money because the performance is identical, however if setting up new PC then definitely go with it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip: If u are struck setting up ur PC then go to MSI support and they are super responsive to assist you. I got my wiring fixed in matter of minutes ona video call by their assistant.Read more"
1.0 out of 5 starsWorst! Gave me used and defective product.,1.0 out of 5 stars,Reviewed in India on 25 June 2024,"Motherboard (Gigabyte z790 ud ac) not detecting cpuThe packaging was worst..Go to store instead, test it and buy it.Don't buy!Read more"
1.0 out of 5 starsWorst quality,1.0 out of 5 stars,Reviewed in India on 28 March 2024,I don't liked the price of it .I Also don't liked the performance of it .Rather you can purchase i9 13th generationRead more
1.0 out of 5 starsWaste of money,1.0 out of 5 stars,Reviewed in India on 7 December 2023,13 gen is better with same performence at low pricing. Avoid this product cause it have only 2 core touching 6000 mhz so in real life there are no difference.Read more
2.0 out of 5 starsIt's just a overclocked i7 13700k,2.0 out of 5 stars,Reviewed in India on 25 October 2023,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for moneyRead more
5.0 out of 5 starsBeast gaming 💪🐻,5.0 out of 5 stars,Reviewed in India on 23 October 2023,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy itRead more
,,Reviewed in Mexico on 11 March 2024,"Lo compré con el 10% de descuento, es el mejor procesador que he tenido. No llora con nada, que es muy caliente, si. Pero con una buena refrigeración liquida, que ya son bastante buenas, se controla.Me gustó mucho, sin demeritar a la competencia AMD que lo está haciendo genial también. Per en mi caso como las memorias DDR5 vienen optimizadas para intel y no quiero estar batallando, me decidí por este y no me arrepiento de mi compra. Muy buen producto de calidad premium.Read more"
,,Reviewed in Canada on 5 March 2024,bonne decision pour mon ordiRead more
,,Reviewed in Canada on 8 December 2023,"I was using a 10700K. I decided it was time..well, actually I got the itch.I decided to go with the 14700K for a few reasons. One is that it's the only 14th gen part from Intel that got a significant upgrade (four more e-cores and 8 more threads, plus a small clock boost).I also don't like that the 3DFX part from AMD had caused some minor issues for people, and I definitely don't like the RAM issues I see all the time on AMD systems. If it wasn't for the RAM issues, I may have gone AMD this time. Out of all the Intel systems I have assembled for customers over the years, I have not once come across a RAM issue that wasn't caused by bad RAM.This CPU is working perfectly, and gaming excellently. Gaming benchmarks show it to be a very good CPU, and I am not having any issues with it.If you are interested in any other Intel parts, I suggest going with 13th gen as you will basically get the same part for less money. For an i7 system though, this is an excellent CPU and a half decent upgrade over the previous gen.Read more"
,,Reviewed in Canada on 1 December 2023,Not buying a cpu from this seller again wen my order came I opened the box and the cpu was not in the box even tho it still has the factory seal wast of almost 1k bucksRead more
,,Reviewed in the United States on 3 November 2023,"So far so good.  This CPU is a monster and runs very nicely and boosts to max clocks (6ghz on two cores and 5.7ghz on all cores) unlimited TDP settings but thermally limited at 90c with -60mV offset.  I have noticed that it runs a bit cooler than my previous 13900KF, especially when you consider the core to core deltas.  I use my PC mostly for gaming and encoding, so as long as you have a great case with plenty of air flow and a top notch cooler, you can easily run it air cooled without issues as it will just throttle itself when it hits whatever thermal maximum you set in the UEFI BIOS.In gaming workloads it never throttles though and stays at 5.7ghz all core boost the entire time with temps in CPU intensive games anywhere from the upper 50s to mid 60s and upper 40s to mid 50s in non CPU intensive games**Update**I have the CPU now at 5.8ghz with HT disabled and a -75mV offset and it's working like a charm and very stable in gaming workloads and encoding (it downclocks when it hits 90c for encoding workloads but for gaming it stays at 5.8ghz), which is amazing since it's on an air cooled setup, though the setup is as optimal as it gets for air cooling!  As for temps, they are a little lower than running it at 5.7ghz with HT enabled and a -50mV offset.  If I use a -75mV offset with 5.8ghz and HT enabled, my PC crashes.  So disabling HT definitely enables the CPU to use less power.If you're predominantly using your machine for gaming, then I definitely recommend turning HT off regardless as most games tend to run better with HT disabled.  But if you're using it for productivity or a blend of both productivity and gaming, then definitely turn HT on.The only mildly disappointing thing for me is that the memory controller isn't as good as I thought it would be.  Mine runs 48GB DDR5 7400 CL34 at 1.35V on the IMC, but to hit DDR5 7600 CL36 with stability I need to increase the IMC voltage to 1.41V which just isn't worth it if you ask me for such a minor bump in performance.  My previous 13900KF could do 48GB DDR5 7800 at 1.36V on the IMC.Core wise though, the CPU is definitely superior to 13th gen.Read more"
5.0 out of 5 starsi9 14th gen is the beast!,5.0 out of 5 stars,Reviewed in India on 20 November 2023,"Just upgraded from i5 9400f to i9 14900k and super happy with the performance that I am able to achieve. It simply works buttery smooth. Large applications open like notepad apps.It heats a lot though so I went with MSI coreliquid liquid cooling solution.If looking to upgrade from 13th gen then save money because the performance is identical, however if setting up new PC then definitely go with it.My setup -MSI MPG z790 carbon wifiIntel i9 14900kMSI RTX 4070tiMSI MAG coreliquid liquid coolerSamsung 980 Pro - 1 TBRipjaws 32gb ddr5Bonus tip: If u are struck setting up ur PC then go to MSI support and they are super responsive to assist you. I got my wiring fixed in matter of minutes ona video call by their assistant.Read more"
1.0 out of 5 starsWorst! Gave me used and defective product.,1.0 out of 5 stars,Reviewed in India on 25 June 2024,"Motherboard (Gigabyte z790 ud ac) not detecting cpuThe packaging was worst..Go to store instead, test it and buy it.Don't buy!Read more"
1.0 out of 5 starsWorst quality,1.0 out of 5 stars,Reviewed in India on 28 March 2024,I don't liked the price of it .I Also don't liked the performance of it .Rather you can purchase i9 13th generationRead more
1.0 out of 5 starsWaste of money,1.0 out of 5 stars,Reviewed in India on 7 December 2023,13 gen is better with same performence at low pricing. Avoid this product cause it have only 2 core touching 6000 mhz so in real life there are no difference.Read more
2.0 out of 5 starsIt's just a overclocked i7 13700k,2.0 out of 5 stars,Reviewed in India on 25 October 2023,What's the meaning of having a new chip when it provides no generational uplift except only thing that is better than last gen is the hefty power consumption if ur fine with that this will work fine but I think ur electricity bill is gonna sky rocket 3 to 5 % uplift for 15 % more money is not worth it rather buy 13 or 12 gen with some ddr5 ram will help you more or else get r7 7700 will provide less like 10 percent for 50 percentage less power draw ryzen is just better when it comes to desktop processor in efficiency and value for moneyRead more
5.0 out of 5 starsBeast gaming 💪🐻,5.0 out of 5 stars,Reviewed in India on 23 October 2023,Beast gaming world 2nd most powerful processor my set up has this processer and RTX 4070 16gb ram 2048gb(2tb) nvme m.2 ssd 850 watts pls buy itRead more
,,Reviewed in Mexico on 11 March 2024,"Lo compré con el 10% de descuento, es el mejor procesador que he tenido. No llora con nada, que es muy caliente, si. Pero con una buena refrigeración liquida, que ya son bastante buenas, se controla.Me gustó mucho, sin demeritar a la competencia AMD que lo está haciendo genial también. Per en mi caso como las memorias DDR5 vienen optimizadas para intel y no quiero estar batallando, me decidí por este y no me arrepiento de mi compra. Muy buen producto de calidad premium.Read more"
,,Reviewed in Canada on 5 March 2024,bonne decision pour mon ordiRead more
